municipality,department,total_cases
GUANAGAZAPA,ESCUINTLA,535
JALPATAGUA,JUTIAPA,535
"SAN ANTONIO AGUAS CALIENTES",SACATEPEQUEZ,534
"EL QUETZAL","SAN MARCOS",530
"SAN JUAN LA ERMITA",CHIQUIMULA,524
"SAN MARTÍN JILOTEPEQUE",CHIMALTENANGO,524
"NUEVO SAN CARLOS",RETALHULEU,519
PARRAMOS,CHIMALTENANGO,490
"EL ASINTAL",RETALHULEU,476
"SAN FRANCISCO","EL PETEN",476
"SAN MARTÍN ZAPOTITLÁN",RETALHULEU,465
SUMPANGO,SACATEPEQUEZ,464
CHISEC,"ALTA VERAPAZ",455
"SANTA ANA HUISTA",HUEHUETENANGO,454
MATAQUESCUINTLA,JALAPA,453
"SAN FELIPE",RETALHULEU,450
"GUAZACAPÁN","SANTA ROSA",449
OLOPA,CHIQUIMULA,425
ACATENANGO,CHIMALTENANGO,422
"CONCEPCIÓN LAS MINAS",CHIQUIMULA,421
"SAN JOSÉ LA ARADA",CHIQUIMULA,415
"SAN VICENTE PACAYA",ESCUINTLA,411
"SAN JUAN CHAMELCO","ALTA VERAPAZ",407
"SAN PEDRO PINULA",JALAPA,404
"SANTA CRUZ MULÚA",RETALHULEU,402
"SANTO TOMÁS LA UNIÓN",SUCHITEPEQUEZ,385
"TAMAHÚ","ALTA VERAPAZ",381
TAXISCO,"SANTA ROSA",376
"LA LIBERTAD",HUEHUETENANGO,363
"SAN MIGUEL DUEÑAS",SACATEPEQUEZ,363
CHAMPERICO,RETALHULEU,350
"SAN GASPAR IXCHIL",HUEHUETENANGO,347
"SAN RAYMUNDO",GUATEMALA,342
"EL RODEO","SAN MARCOS",328
MALACATANCITO,HUEHUETENANGO,325
"SAN JORGE",ZACAPA,322
JOCOTENANGO,SACATEPEQUEZ,321
"SAN JOSÉ ACATEMPA",JUTIAPA,316
"SAN ANTONIO SUCHITEPÉQUEZ",SUCHITEPEQUEZ,315
IZTAPA,ESCUINTLA,313
MONJAS,JALAPA,313
CUYOTENANGO,SUCHITEPEQUEZ,311
"SAN BARTOLOMÉ JOCOTENANGO",QUICHE,306
"SAN PEDRO SACATEPÉQUEZ",GUATEMALA,304
"SANTA CRUZ LA LAGUNA",SOLOLA,303
PAJAPITA,"SAN MARCOS",299
"SAN JACINTO",CHIQUIMULA,295
"SANTA CRUZ NARANJO","SANTA ROSA",293
"NAHUALÁ",SOLOLA,292
"EL CHOL","BAJA VERAPAZ",283
CHICACAO,SUCHITEPEQUEZ,281
"CUNÉN",QUICHE,280
"USUMATLÁN",ZACAPA,277
ORATORIO,"SANTA ROSA",270
"SAN DIEGO",ZACAPA,267
"SAN RAFAEL PIÉ DE LA CUESTA","SAN MARCOS",267
SIPACATE,ESCUINTLA,265
PASTORES,SACATEPEQUEZ,262
SANARATE,"EL PROGRESO",260
"SAN MANUEL CHAPARRÓN",JALAPA,248
"SAN ANDRÉS","EL PETEN",246
"EL TEJAR",CHIMALTENANGO,242
"SAN MARCOS LA LAGUNA",SOLOLA,239
"SANTO DOMINGO XENACOJ",SACATEPEQUEZ,238
"SAN AGUSTÍN ACASAGUASTLÁN","EL PROGRESO",237
"SANTA CATARINA BARAHONA",SACATEPEQUEZ,237
"EL PROGRESO",JUTIAPA,234
"SAN LORENZO",SUCHITEPEQUEZ,231
MOYUTA,JUTIAPA,229
COLOTENANGO,HUEHUETENANGO,227
"SAN CRISTÓBAL ACASAGUASTLÁN","EL PROGRESO",224
COMAPA,JUTIAPA,219
PANZOS,"ALTA VERAPAZ",212
"LA REFORMA","SAN MARCOS",187
"SAN JUAN TECUACO","SANTA ROSA",169
"RÍO HONDO",ZACAPA,161
"SAN CARLOS ALZATATE",JALAPA,161
"SAN ANTONIO PALOPÓ",SOLOLA,157
YUPILTEPEQUE,JUTIAPA,155
"HUITÉ",ZACAPA,149
"SAN LUCAS SACATEPÉQUEZ",SACATEPEQUEZ,146
"TECPÁN GUATEMALA",CHIMALTENANGO,145
"ZAPOTITLÁN",JUTIAPA,140
QUEZADA,JUTIAPA,133
"MORAZÁN","EL PROGRESO",131
"SAN ANDRÉS ITZAPA",CHIMALTENANGO,130
"SANTA CATARINA PALOPÓ",SOLOLA,125
"SANTA MARÍA IXHUATÁN","SANTA ROSA",125
PATULUL,SUCHITEPEQUEZ,123
SAMAYAC,SUCHITEPEQUEZ,122
SANSARE,"EL PROGRESO",119
ZUNILITO,SUCHITEPEQUEZ,106
QUETZALTENANGO,QUETZALTENANGO,103
PASACO,JUTIAPA,102
"SAN JOSÉ EL IDOLO",SUCHITEPEQUEZ,101
"EL ADELANTO",JUTIAPA,91
"SAN JOSÉ","EL PETEN",88
"SANTA BÁRBARA",SUCHITEPEQUEZ,87
"RÍO BRAVO",SUCHITEPEQUEZ,84
"SANTO DOMINGO SUCHITEPÉQUEZ",SUCHITEPEQUEZ,82
CONGUACO,JUTIAPA,81
"SAN GABRIEL",SUCHITEPEQUEZ,81
POCHUTA,CHIMALTENANGO,80
"SANTIAGO SACATEPÉQUEZ",SACATEPEQUEZ,59
"SAN MIGUEL PANÁN",SUCHITEPEQUEZ,56
"SANTA BÁRBARA",HUEHUETENANGO,56
"SAN PABLO LA LAGUNA",SOLOLA,54
"SAN SEBASTIÁN HUEHUETENANGO",HUEHUETENANGO,52
"PURULHÁ","BAJA VERAPAZ",50
"SAN JOSÉ POAQUIL",CHIMALTENANGO,48
"SAN BERNARDINO",SUCHITEPEQUEZ,47
NEBAJ,QUICHE,44
"SAN PABLO JOCOPILAS",SUCHITEPEQUEZ,43
"TOTONICAPÁN",TOTONICAPAN,41
"TECTITÁN",HUEHUETENANGO,40
"AGUA BLANCA",JUTIAPA,37
"SAN RAFAEL PETZAL",HUEHUETENANGO,33
"CONCEPCIÓN HUISTA",HUEHUETENANGO,31
"SAN PEDRO JOCOPILAS",QUICHE,30
ZARAGOZA,CHIMALTENANGO,29
"CHICHÉ",QUICHE,28
"PATZICÍA",CHIMALTENANGO,28
"PUEBLO NUEVO SUCHITEPÉQUEZ",SUCHITEPEQUEZ,28
"SANTA LUCÍA MILPAS ALTAS",SACATEPEQUEZ,25
"PETATÁN",HUEHUETENANGO,24
"SAN JUAN BAUTISTA",SUCHITEPEQUEZ,23
"SAN FRANCISCO ZAPOTITLÁN",SUCHITEPEQUEZ,22
"UNION CANTINIL",HUEHUETENANGO,20
CHINIQUE,QUICHE,18
"MAGDALENA MILPAS ALTAS",SACATEPEQUEZ,17
"SAN BARTOLOMÉ MILPAS ALTAS",SACATEPEQUEZ,17
"SAN JUAN COTZAL",QUICHE,17
"SANTA LUCÍA UTATLÁN",SOLOLA,17
SIBINAL,"SAN MARCOS",16
TEJUTLA,"SAN MARCOS",15
"SANTA CLARA LA LAGUNA",SOLOLA,13
ZUNIL,QUETZALTENANGO,12
MOMOSTENANGO,TOTONICAPAN,11
"SAN ANDRÉS SEMETABAJ",SOLOLA,11
"SANTA CRUZ BALANYÁ",CHIMALTENANGO,9
"SANTA MARÍA DE JESÚS",SACATEPEQUEZ,9
CHIANTLA,HUEHUETENANGO,8
"SAN JOSÉ OJETENAM","SAN MARCOS",8
"SAN PEDRO SACATEPÉQUEZ","SAN MARCOS",8
CHICHICASTENANGO,QUICHE,7
OLINTEPEQUE,QUETZALTENANGO,7
"PATZITÉ",QUICHE,7
"PATZÚN",CHIMALTENANGO,7
"SAN JUAN ATITÁN",HUEHUETENANGO,7
"LA ESPERANZA",QUETZALTENANGO,6
"SAN JUAN COMALAPA",CHIMALTENANGO,6
"SAN ANTONIO ILOTENANGO",QUICHE,5
"SAN BARTOLO",TOTONICAPAN,5
"SAN CARLOS SIJA",QUETZALTENANGO,5
"SANTA APOLONIA",CHIMALTENANGO,5
"SANTA LUCÍA LA REFORMA",TOTONICAPAN,5
"SANTA MARÍA VISITACIÓN",SOLOLA,5
CANTEL,QUETZALTENANGO,4
CHAJUL,QUICHE,4
"SAN JOSÉ CHACAYÁ",SOLOLA,4
"SAN JUAN OSTUNCALCO",QUETZALTENANGO,4
"SAN MATEO",QUETZALTENANGO,4
"SAN PEDRO SOLOMA",HUEHUETENANGO,4
"SANTA MARÍA CHIQUIMULA",TOTONICAPAN,4
"TACANÁ","SAN MARCOS",4
"CONCEPCIÓN",SOLOLA,3
"ESQUIPULAS PALO GORDO","SAN MARCOS",3
"RÍO BLANCO","SAN MARCOS",3
"SALCAJÁ",QUETZALTENANGO,3
"SAN ANDRÉS XECUL",TOTONICAPAN,3
"SAN MIGUEL IXTAHUACÁN","SAN MARCOS",3
"SANTIAGO CHIMALTENANGO",HUEHUETENANGO,3
"CABRICÁN",QUETZALTENANGO,2
"CAJOLÁ",QUETZALTENANGO,2
"PALESTINA DE LOS ALTOS",QUETZALTENANGO,2
"SAN ANTONIO SACATEPÉQUEZ","SAN MARCOS",2
"SAN CRISTÓBAL CUCHO","SAN MARCOS",2
"SAN JUAN IXCOY",HUEHUETENANGO,2
"SAN LORENZO","SAN MARCOS",2
"SAN RAFAEL LA INDEPENDENCIA",HUEHUETENANGO,2
"TODOS SANTOS CUCHUMATÁN",HUEHUETENANGO,2
"CONCEPCIÓN TUTUAPA","SAN MARCOS",1
"SAN CRISTÓBAL TOTONICAPÁN",TOTONICAPAN,1
"SAN MARTÍN SACATEPÉQUEZ",QUETZALTENANGO,1
"SAN MIGUEL SIGÜILÁ",QUETZALTENANGO,1
TAJUMULCO,"SAN MARCOS",1
