year,municipality,total_cases
2012,"VILLA CANALES",42
2012,"VILLA NUEVA",78
2012,YEPOCAPA,15
2012,YUPILTEPEQUE,1
2012,ZACAPA,716
2012,ZACUALPA,2
2012,"ZAPOTITLÁN",2
2012,ZUNILITO,1
2013,"AGUA BLANCA",3
2013,ALOTENANGO,20
2013,"AMATITLÁN",728
2013,"ANTIGUA GUATEMALA",181
2013,"ASUNCIÓN MITA",82
2013,ATESCATEMPA,13
2013,AYUTLA,25
2013,BARBERENA,70
2013,"CABAÑAS",27
2013,"CAHABÓN",122
2013,"CAMOTÁN",118
2013,CASILLAS,66
2013,CATARINA,18
2013,CHAHAL,54
2013,CHAJUL,1
2013,CHAMPERICO,28
2013,CHICACAO,4
2013,CHIMALTENANGO,4
2013,CHINAUTLA,23
2013,CHINIQUE,2
2013,CHIQUIMULA,175
2013,CHIQUIMULILLA,4
2013,CHUARRANCHO,10
2013,"CIUDAD VIEJA",12
2013,COATEPEQUE,547
2013,"COBÁN",135
2013,COLOMBA,74
2013,COMAPA,23
2013,"CONCEPCIÓN",1
2013,"CONCEPCIÓN LAS MINAS",30
2013,CONGUACO,1
2013,CUBULCO,72
2013,CUILAPA,199
2013,CUILCO,33
2013,CUYOTENANGO,34
2013,DOLORES,100
2013,"EL ADELANTO",5
2013,"EL ASINTAL",32
2013,"EL CHAL",50
2013,"EL CHOL",5
2013,"EL ESTOR",189
2013,"EL JÍCARO",14
2013,"EL PALMAR",52
2013,"EL PROGRESO",33
2013,"EL QUETZAL",49
2013,"EL RODEO",11
2013,"EL TUMBADOR",154
2013,ESCUINTLA,279
2013,ESQUIPULAS,52
2013,ESTANZUELA,19
2013,"FLORES COSTA CUCA",34
2013,FRAIJANES,6
2013,"FRAY BARTOLOMÉ DE LAS CASAS",387
2013,"GUALÁN",125
2013,GUANAGAZAPA,21
2013,GUASTATOYA,50
2013,GUATEMALA,512
2013,"GÉNOVA",87
2013,HUEHUETENANGO,1
2013,"HUITÉ",34
2013,IPALA,10
2013,"IXCÁN",234
2013,IZTAPA,16
2013,JACALTENANGO,43
2013,JALAPA,127
2013,JALPATAGUA,196
2013,JEREZ,11
2013,JOCOTENANGO,1
2013,"JOCOTÁN",68
2013,JOYABAJ,2
2013,JUTIAPA,407
2013,"LA DEMOCRACIA",142
2013,"LA GOMERA",12
2013,"LA LIBERTAD",3
2013,"LA REFORMA",3
2013,"LA TINTA",40
2013,"LA UNIÓN",2
2013,"LAS CRUCES",2
2013,LIVINGSTON,68
2013,"LOS AMATES",65
2013,"MALACATÁN",4
2013,MASAGUA,16
2013,MAZATENANGO,109
2013,"MELCHOR DE MENCOS",46
2013,MIXCO,334
2013,MONJAS,11
2013,MORALES,44
2013,"MORAZÁN",5
2013,MOYUTA,3
2013,"NAHUALÁ",2
2013,"NENTÓN",11
2013,"NUEVA CONCEPCIÓN",124
2013,"NUEVA SANTA ROSA",84
2013,"NUEVO PROGRESO",31
2013,"NUEVO SAN CARLOS",48
2013,"OCÓS",27
2013,OLOPA,11
2013,ORATORIO,38
2013,PAJAPITA,30
2013,PALENCIA,27
2013,"PALÍN",77
2013,PANAJACHEL,5
2013,PANZOS,51
2013,PASACO,1
2013,PASTORES,3
2013,PATULUL,6
2013,"PATZITÉ",4
2013,POCHUTA,2
2013,"POPTÚN",306
2013,"PUEBLO NUEVO SUCHITEPÉQUEZ",2
