year,municipality,department,total_cases
2014,"LA LIBERTAD",HUEHUETENANGO,14
2014,"SAN MIGUEL CHICAJ","BAJA VERAPAZ",14
2014,"SANTA CRUZ MULÚA",RETALHULEU,13
2014,"ZAPOTITLÁN",JUTIAPA,13
2014,"SANTO DOMINGO SUCHITEPÉQUEZ",SUCHITEPEQUEZ,13
2014,JOCOTENANGO,SACATEPEQUEZ,13
2014,"CONCEPCIÓN LAS MINAS",CHIQUIMULA,12
2014,FLORES,"EL PETEN",11
2014,ORATORIO,"SANTA ROSA",11
2014,"SAN JOSÉ","EL PETEN",11
2014,"SAN MARTÍN ZAPOTITLÁN",RETALHULEU,11
2014,"SAN ANTONIO LA PAZ","EL PROGRESO",11
2014,"SAN LORENZO",SUCHITEPEQUEZ,11
2014,JEREZ,JUTIAPA,11
2014,"SAN ANDRÉS","EL PETEN",10
2014,CHICACAO,SUCHITEPEQUEZ,10
2014,CHINAUTLA,GUATEMALA,10
2014,"SAN LUIS","EL PETEN",10
2014,QUETZALTEPEQUE,CHIQUIMULA,10
2014,"SANTA CATARINA MITA",JUTIAPA,10
2014,"SANTA MARÍA IXHUATÁN","SANTA ROSA",10
2014,YEPOCAPA,CHIMALTENANGO,10
2014,SAMAYAC,SUCHITEPEQUEZ,10
2014,JACALTENANGO,HUEHUETENANGO,9
2014,"SAN LUIS JILOTEPEQUE",JALAPA,9
2014,"SAN PABLO JOCOPILAS",SUCHITEPEQUEZ,8
2014,"SANTA ANA HUISTA",HUEHUETENANGO,8
2014,"SAN CRISTÓBAL VERAPAZ","ALTA VERAPAZ",8
2014,"NAHUALÁ",SOLOLA,8
2014,"SANTA CATARINA BARAHONA",SACATEPEQUEZ,8
2014,"PUEBLO NUEVO SUCHITEPÉQUEZ",SUCHITEPEQUEZ,8
2014,PALENCIA,GUATEMALA,7
2014,GRANADOS,"BAJA VERAPAZ",7
2014,"SAN JACINTO",CHIQUIMULA,7
2014,CHUARRANCHO,GUATEMALA,7
2014,"SAN ANTONIO HUISTA",HUEHUETENANGO,7
2014,SANARATE,"EL PROGRESO",7
2014,"SAN LUCAS TOLIMÁN",SOLOLA,7
2014,"SAN JUAN BAUTISTA",SUCHITEPEQUEZ,7
2014,"SAN ANTONIO AGUAS CALIENTES",SACATEPEQUEZ,6
2014,"SAN MANUEL CHAPARRÓN",JALAPA,6
2014,"EL RODEO","SAN MARCOS",6
2014,SANSARE,"EL PROGRESO",6
2014,"EL PROGRESO",JUTIAPA,6
2014,"SAN JUAN LA ERMITA",CHIQUIMULA,5
2014,"SAN DIEGO",ZACAPA,5
2014,IPALA,CHIQUIMULA,5
2014,PASTORES,SACATEPEQUEZ,5
2014,"SAN PEDRO LA LAGUNA",SOLOLA,5
2014,"SAN RAYMUNDO",GUATEMALA,5
2014,PANAJACHEL,SOLOLA,5
2014,"AGUA BLANCA",JUTIAPA,5
2014,"SAN JOSÉ EL IDOLO",SUCHITEPEQUEZ,5
2014,QUETZALTENANGO,QUETZALTENANGO,4
2014,"NENTÓN",HUEHUETENANGO,4
2014,"SAN MIGUEL PANÁN",SUCHITEPEQUEZ,4
2014,"SAN PEDRO SACATEPÉQUEZ",GUATEMALA,4
2014,"MELCHOR DE MENCOS","EL PETEN",4
2014,"TAMAHÚ","ALTA VERAPAZ",4
2014,OLOPA,CHIQUIMULA,4
2014,"LANQUÍN","ALTA VERAPAZ",4
2014,"CHICHÉ",QUICHE,4
2014,"SAN MARTÍN JILOTEPEQUE",CHIMALTENANGO,3
2014,"SAN PEDRO AYAMPUC",GUATEMALA,3
2014,QUEZADA,JUTIAPA,3
2014,"SAN FRANCISCO ZAPOTITLÁN",SUCHITEPEQUEZ,3
2014,ZUNILITO,SUCHITEPEQUEZ,3
2014,"SANTA LUCÍA MILPAS ALTAS",SACATEPEQUEZ,3
2014,POCHUTA,CHIMALTENANGO,3
2014,"PATZITÉ",QUICHE,3
2014,RAXRUHA,"ALTA VERAPAZ",2
2014,ATESCATEMPA,JUTIAPA,2
2014,"SAN PEDRO NECTA",HUEHUETENANGO,2
2014,"SAN PEDRO CARCHÁ","ALTA VERAPAZ",2
2014,"SAN JOSÉ PINULA",GUATEMALA,2
2014,"SAN JUAN TECUACO","SANTA ROSA",2
2014,"SANTA BÁRBARA",SUCHITEPEQUEZ,2
2014,"SANTA CRUZ NARANJO","SANTA ROSA",2
2014,MOMOSTENANGO,TOTONICAPAN,2
2014,"PURULHÁ","BAJA VERAPAZ",2
2014,SIBINAL,"SAN MARCOS",2
2014,CHICHICASTENANGO,QUICHE,2
2014,"SAN BENITO","EL PETEN",1
2014,"LA LIBERTAD","EL PETEN",1
2014,HUEHUETENANGO,HUEHUETENANGO,1
2014,MATAQUESCUINTLA,JALAPA,1
2014,"LAS CRUCES","EL PETEN",1
2014,"LA REFORMA","SAN MARCOS",1
2014,CONGUACO,JUTIAPA,1
2014,"SANTA CRUZ DEL QUICHÉ",QUICHE,1
2014,YUPILTEPEQUE,JUTIAPA,1
2014,MONJAS,JALAPA,1
2014,"SAN BARTOLOMÉ JOCOTENANGO",QUICHE,1
2014,"EL CHOL","BAJA VERAPAZ",1
2014,"SANTA LUCÍA UTATLÁN",SOLOLA,1
2014,"SAN BARTOLO",TOTONICAPAN,1
2014,"SANTA MARÍA CHIQUIMULA",TOTONICAPAN,1
2014,"SAN JUAN OSTUNCALCO",QUETZALTENANGO,1
2014,"SANTA MARÍA VISITACIÓN",SOLOLA,1
2014,"SAN MIGUEL SIGÜILÁ",QUETZALTENANGO,1
2015,GUATEMALA,GUATEMALA,3148
2015,MIXCO,GUATEMALA,2777
2015,"ANTIGUA GUATEMALA",SACATEPEQUEZ,855
2015,"VILLA NUEVA",GUATEMALA,711
2015,"AMATITLÁN",GUATEMALA,608
2015,ESCUINTLA,ESCUINTLA,581
2015,COATEPEQUE,QUETZALTENANGO,566
2015,RABINAL,"BAJA VERAPAZ",440
2015,"SAN JUAN SACATEPÉQUEZ",GUATEMALA,429
2015,"NUEVA SANTA ROSA","SANTA ROSA",285
2015,"SANTA LUCÍA COTZUMALGUAPA",ESCUINTLA,265
2015,RAXRUHA,"ALTA VERAPAZ",245
2015,"MALACATÁN","SAN MARCOS",239
2015,"SALAMÁ","BAJA VERAPAZ",238
2015,PANAJACHEL,SOLOLA,234
2015,"PUERTO BARRIOS",IZABAL,210
2015,CUILAPA,"SANTA ROSA",205
2015,"SAN LUCAS TOLIMÁN",SOLOLA,196
2015,"LA DEMOCRACIA",HUEHUETENANGO,195
2015,CHINAUTLA,GUATEMALA,195
2015,"SAN PEDRO AYAMPUC",GUATEMALA,195
2015,BARBERENA,"SANTA ROSA",187
2015,CHAHAL,"ALTA VERAPAZ",180
2015,RETALHULEU,RETALHULEU,177
2015,CHIQUIMULILLA,"SANTA ROSA",169
2015,"SAN MIGUEL PETAPA",GUATEMALA,157
2015,ESQUIPULAS,CHIQUIMULA,147
2015,TIQUISATE,ESCUINTLA,142
2015,"VILLA CANALES",GUATEMALA,122
2015,CUBULCO,"BAJA VERAPAZ",120
2015,"EL TUMBADOR","SAN MARCOS",118
2015,MASAGUA,ESCUINTLA,109
2015,"LA GOMERA",ESCUINTLA,107
2015,"SAN FRANCISCO","EL PETEN",107
2015,"PUEBLO NUEVO VIÑAS","SANTA ROSA",106
2015,ZACAPA,ZACAPA,103
2015,JACALTENANGO,HUEHUETENANGO,100
2015,AYUTLA,"SAN MARCOS",96
2015,"POPTÚN","EL PETEN",91
2015,"EL QUETZAL","SAN MARCOS",85
2015,CHIQUIMULA,CHIQUIMULA,82
2015,ESTANZUELA,ZACAPA,82
2015,"LA UNIÓN",ZACAPA,80
2015,COLOMBA,QUETZALTENANGO,80
2015,"NUEVA CONCEPCIÓN",ESCUINTLA,76
2015,"NENTÓN",HUEHUETENANGO,74
2015,"LA DEMOCRACIA",ESCUINTLA,69
2015,"SAN MIGUEL CHICAJ","BAJA VERAPAZ",67
2015,"EL PALMAR",QUETZALTENANGO,66
2015,"LOS AMATES",IZABAL,66
2015,"FRAY BARTOLOMÉ DE LAS CASAS","ALTA VERAPAZ",65
2015,"CAHABÓN","ALTA VERAPAZ",62
2015,"EL JÍCARO","EL PROGRESO",61
2015,"PALÍN",ESCUINTLA,61
2015,ALOTENANGO,SACATEPEQUEZ,59
2015,"SAN ANTONIO HUISTA",HUEHUETENANGO,55
2015,"SAN PABLO","SAN MARCOS",54
2015,"LANQUÍN","ALTA VERAPAZ",52
2015,"SAN JERÓNIMO","BAJA VERAPAZ",51
2015,CASILLAS,"SANTA ROSA",49
2015,"COBÁN","ALTA VERAPAZ",47
2015,"SAN VICENTE PACAYA",ESCUINTLA,47
2015,"NUEVO PROGRESO","SAN MARCOS",45
2015,"FLORES COSTA CUCA",QUETZALTENANGO,43
2015,JALPATAGUA,JUTIAPA,42
2015,"SANTA CATARINA MITA",JUTIAPA,41
2015,"SAN RAFAEL LAS FLORES","SANTA ROSA",40
2015,CHUARRANCHO,GUATEMALA,40
2015,"GÉNOVA",QUETZALTENANGO,39
2015,"SANTA ROSA DE LIMA","SANTA ROSA",39
2015,"SAN ANDRÉS VILLA SECA",RETALHULEU,38
2015,"CIUDAD VIEJA",SACATEPEQUEZ,38
2015,"GUAZACAPÁN","SANTA ROSA",36
2015,IPALA,CHIQUIMULA,36
2015,"ZAPOTITLÁN",JUTIAPA,36
2015,MORALES,IZABAL,35
2015,"EL ASINTAL",RETALHULEU,35
2015,"SAN BENITO","EL PETEN",31
2015,MAZATENANGO,SUCHITEPEQUEZ,31
2015,GUASTATOYA,"EL PROGRESO",31
2015,"SANTA CATARINA IXTAHUACÁN",SOLOLA,31
2015,"JOCOTÁN",CHIQUIMULA,29
2015,"SANTA CATARINA BARAHONA",SACATEPEQUEZ,29
2015,"IXCÁN",QUICHE,28
2015,"MELCHOR DE MENCOS","EL PETEN",28
2015,PAJAPITA,"SAN MARCOS",28
2015,"SAN DIEGO",ZACAPA,28
2015,"SAN RAYMUNDO",GUATEMALA,28
2015,ATESCATEMPA,JUTIAPA,26
2015,"GUALÁN",ZACAPA,24
2015,IZTAPA,ESCUINTLA,24
2015,"CAMOTÁN",CHIQUIMULA,23
2015,JALAPA,JALAPA,22
2015,"NUEVO SAN CARLOS",RETALHULEU,22
2015,"LA REFORMA","SAN MARCOS",22
2015,CUYOTENANGO,SUCHITEPEQUEZ,21
2015,"TECULUTÁN",ZACAPA,21
2015,ORATORIO,"SANTA ROSA",21
2015,"OCÓS","SAN MARCOS",20
2015,"SAN ANTONIO AGUAS CALIENTES",SACATEPEQUEZ,20
2015,"SAN PEDRO SACATEPÉQUEZ",GUATEMALA,20
2015,"EL CHAL","EL PETEN",20
2015,GUANAGAZAPA,ESCUINTLA,20
2015,"SAN MARTÍN ZAPOTITLÁN",RETALHULEU,20
2015,PASACO,JUTIAPA,20
2015,"SIQUINALÁ",ESCUINTLA,19
2015,COMAPA,JUTIAPA,19
2015,FLORES,"EL PETEN",18
2015,JUTIAPA,JUTIAPA,18
2015,LIVINGSTON,IZABAL,18
2015,"SAN JOSÉ DEL GOLFO",GUATEMALA,18
2015,"RÍO HONDO",ZACAPA,18
2015,YEPOCAPA,CHIMALTENANGO,18
2015,"SAN MIGUEL DUEÑAS",SACATEPEQUEZ,18
2015,"SAYAXCHÉ","EL PETEN",17
2015,"SANTIAGO ATITLÁN",SOLOLA,16
2015,"PUERTO DE SAN JOSÉ",ESCUINTLA,16
2015,"SANTO TOMÁS LA UNIÓN",SUCHITEPEQUEZ,15
2015,CHIMALTENANGO,CHIMALTENANGO,14
2015,CATARINA,"SAN MARCOS",14
2015,"SAN JOSÉ ACATEMPA",JUTIAPA,14
2015,"EL RODEO","SAN MARCOS",14
2015,"SAN PEDRO CARCHÁ","ALTA VERAPAZ",13
2015,"SANTA CRUZ VERAPAZ","ALTA VERAPAZ",13
2015,"SAN JUAN TECUACO","SANTA ROSA",13
2015,"HUITÉ",ZACAPA,13
2015,"EL ESTOR",IZABAL,12
2015,"LAS CRUCES","EL PETEN",11
2015,"SAN LUIS","EL PETEN",11
2015,QUETZALTEPEQUE,CHIQUIMULA,11
2015,"SANTA ANA","EL PETEN",11
2015,"SANTA CRUZ MULÚA",RETALHULEU,11
2015,"SAN FELIPE",RETALHULEU,11
2015,"SAN JOSÉ LA ARADA",CHIQUIMULA,11
2015,"SAN ANDRÉS","EL PETEN",10
2015,"SAN CARLOS ALZATATE",JALAPA,10
2015,GRANADOS,"BAJA VERAPAZ",9
2015,"CABAÑAS",ZACAPA,9
2015,QUEZADA,JUTIAPA,9
2015,"LA LIBERTAD","EL PETEN",8
2015,TAXISCO,"SANTA ROSA",8
2015,"SANTA BÁRBARA",SUCHITEPEQUEZ,8
2015,DOLORES,"EL PETEN",7
2015,"SAN SEBASTIÁN",RETALHULEU,7
2015,"SANTA ANA HUISTA",HUEHUETENANGO,6
2015,"SAN MARCOS","SAN MARCOS",6
2015,MOYUTA,JUTIAPA,6
2015,MALACATANCITO,HUEHUETENANGO,6
2015,JOCOTENANGO,SACATEPEQUEZ,6
2015,SIBINAL,"SAN MARCOS",6
2015,"MORAZÁN","EL PROGRESO",5
2015,"CONCEPCIÓN LAS MINAS",CHIQUIMULA,5
2015,"SAN JORGE",ZACAPA,5
2015,"SAN ANTONIO LA PAZ","EL PROGRESO",5
2015,SANARATE,"EL PROGRESO",5
2015,PATULUL,SUCHITEPEQUEZ,5
2015,MONJAS,JALAPA,5
2015,MOMOSTENANGO,TOTONICAPAN,5
2015,"SAN JOSÉ POAQUIL",CHIMALTENANGO,5
2015,"SAN PEDRO NECTA",HUEHUETENANGO,4
2015,"SAN MIGUEL USPANTÁN",QUICHE,4
2015,"SAN PEDRO PINULA",JALAPA,4
2015,PASTORES,SACATEPEQUEZ,4
2015,SAMAYAC,SUCHITEPEQUEZ,4
2015,"SANTA CRUZ NARANJO","SANTA ROSA",4
2015,POCHUTA,CHIMALTENANGO,4
2015,PALENCIA,GUATEMALA,3
2015,"LA TINTA","ALTA VERAPAZ",3
2015,"SAN JOSÉ PINULA",GUATEMALA,3
2015,CONGUACO,JUTIAPA,3
2015,"USUMATLÁN",ZACAPA,3
2015,OLOPA,CHIQUIMULA,3
2015,"EL ADELANTO",JUTIAPA,3
2015,SANSARE,"EL PROGRESO",3
2015,JEREZ,JUTIAPA,3
2015,"CHICHÉ",QUICHE,3
2015,CUILCO,HUEHUETENANGO,2
2015,CHICACAO,SUCHITEPEQUEZ,2
2015,"ASUNCIÓN MITA",JUTIAPA,2
2015,"SOLOLÁ",SOLOLA,2
2015,"RÍO BRAVO",SUCHITEPEQUEZ,2
2015,"SAN CRISTÓBAL VERAPAZ","ALTA VERAPAZ",2
2015,"PACHALÚN",QUICHE,2
2015,"SAN LUIS JILOTEPEQUE",JALAPA,2
2015,ACATENANGO,CHIMALTENANGO,2
2015,SACAPULAS,QUICHE,2
2015,PANZOS,"ALTA VERAPAZ",2
2015,"SAN FRANCISCO ZAPOTITLÁN",SUCHITEPEQUEZ,2
2015,"PUEBLO NUEVO SUCHITEPÉQUEZ",SUCHITEPEQUEZ,2
2015,QUETZALTENANGO,QUETZALTENANGO,1
2015,JOYABAJ,QUICHE,1
2015,CHAMPERICO,RETALHULEU,1
2015,"PATZICÍA",CHIMALTENANGO,1
2015,ZACUALPA,QUICHE,1
2015,"LA LIBERTAD",HUEHUETENANGO,1
2015,FRAIJANES,GUATEMALA,1
2015,"SANTA CRUZ DEL QUICHÉ",QUICHE,1
2015,TACTIC,"ALTA VERAPAZ",1
2015,"SAN CRISTÓBAL ACASAGUASTLÁN","EL PROGRESO",1
2015,"SAN JUAN BAUTISTA",SUCHITEPEQUEZ,1
2015,"EL PROGRESO",JUTIAPA,1
2015,"SAN RAFAEL PIÉ DE LA CUESTA","SAN MARCOS",1
2015,"SAN ANDRÉS ITZAPA",CHIMALTENANGO,1
2015,"SAN JOSÉ EL IDOLO",SUCHITEPEQUEZ,1
2015,"SAN ANTONIO PALOPÓ",SOLOLA,1
2015,"UNION CANTINIL",HUEHUETENANGO,1
2015,CHINIQUE,QUICHE,1
2015,TEJUTLA,"SAN MARCOS",1
2015,"SAN JUAN OSTUNCALCO",QUETZALTENANGO,1
2015,"ESQUIPULAS PALO GORDO","SAN MARCOS",1
2016,MIXCO,GUATEMALA,1230
2016,GUATEMALA,GUATEMALA,1067
2016,"ANTIGUA GUATEMALA",SACATEPEQUEZ,939
2016,"VILLA NUEVA",GUATEMALA,365
2016,"SANTIAGO ATITLÁN",SOLOLA,327
2016,JACALTENANGO,HUEHUETENANGO,315
2016,CHAHAL,"ALTA VERAPAZ",218
2016,"CANILLÁ",QUICHE,181
2016,"SAN ANTONIO HUISTA",HUEHUETENANGO,160
2016,COLOMBA,QUETZALTENANGO,159
2016,CUILAPA,"SANTA ROSA",150
2016,"PUEBLO NUEVO VIÑAS","SANTA ROSA",149
2016,"AMATITLÁN",GUATEMALA,135
2016,ESCUINTLA,ESCUINTLA,119
2016,BARBERENA,"SANTA ROSA",114
2016,TIQUISATE,ESCUINTLA,110
2016,"PUERTO BARRIOS",IZABAL,94
2016,COATEPEQUE,QUETZALTENANGO,93
2016,CHUARRANCHO,GUATEMALA,92
2016,"FRAY BARTOLOMÉ DE LAS CASAS","ALTA VERAPAZ",90
2016,"VILLA CANALES",GUATEMALA,87
2016,"MALACATÁN","SAN MARCOS",77
2016,RABINAL,"BAJA VERAPAZ",76
2016,"NUEVA SANTA ROSA","SANTA ROSA",76
2016,"CAHABÓN","ALTA VERAPAZ",76
2016,"SAN JUAN SACATEPÉQUEZ",GUATEMALA,73
2016,"NENTÓN",HUEHUETENANGO,67
2016,"LA GOMERA",ESCUINTLA,66
2016,"POPTÚN","EL PETEN",61
2016,CASILLAS,"SANTA ROSA",60
2016,"EL PALMAR",QUETZALTENANGO,54
2016,"SAN PEDRO AYAMPUC",GUATEMALA,51
2016,"SAN MIGUEL PETAPA",GUATEMALA,46
2016,"LA DEMOCRACIA",HUEHUETENANGO,44
2016,JALAPA,JALAPA,44
2016,"SAN CRISTÓBAL VERAPAZ","ALTA VERAPAZ",44
2016,"SAN PABLO","SAN MARCOS",44
2016,"EL ESTOR",IZABAL,43
2016,"COBÁN","ALTA VERAPAZ",43
2016,"EL QUETZAL","SAN MARCOS",39
2016,"LA DEMOCRACIA",ESCUINTLA,38
2016,LIVINGSTON,IZABAL,37
2016,"GUALÁN",ZACAPA,36
2016,"JOCOTÁN",CHIQUIMULA,33
2016,"FLORES COSTA CUCA",QUETZALTENANGO,33
2016,CUBULCO,"BAJA VERAPAZ",33
2016,"PACHALÚN",QUICHE,32
2016,"SAN RAYMUNDO",GUATEMALA,32
2016,PANAJACHEL,SOLOLA,32
2016,"SAN BENITO","EL PETEN",31
2016,RETALHULEU,RETALHULEU,31
2016,"SAYAXCHÉ","EL PETEN",31
2016,"CAMOTÁN",CHIQUIMULA,31
2016,"SAN JUAN LA ERMITA",CHIQUIMULA,31
2016,"NUEVA CONCEPCIÓN",ESCUINTLA,30
2016,CHIQUIMULILLA,"SANTA ROSA",29
2016,JOYABAJ,QUICHE,29
2016,"IXCÁN",QUICHE,28
2016,"SAN VICENTE PACAYA",ESCUINTLA,28
2016,YEPOCAPA,CHIMALTENANGO,28
2016,GUASTATOYA,"EL PROGRESO",26
2016,"PALÍN",ESCUINTLA,26
2016,ESQUIPULAS,CHIQUIMULA,25
2016,COMAPA,JUTIAPA,24
2016,GUANAGAZAPA,ESCUINTLA,23
2016,"LANQUÍN","ALTA VERAPAZ",23
2016,"CIUDAD VIEJA",SACATEPEQUEZ,23
2016,"EL TUMBADOR","SAN MARCOS",22
2016,"SAN LUIS","EL PETEN",22
2016,"MELCHOR DE MENCOS","EL PETEN",22
2016,"SANTA CATARINA MITA",JUTIAPA,22
2016,"SANTA ROSA DE LIMA","SANTA ROSA",22
2016,"SANTA LUCÍA COTZUMALGUAPA",ESCUINTLA,20
2016,AYUTLA,"SAN MARCOS",20
2016,"SANTA ANA HUISTA",HUEHUETENANGO,18
2016,"SANTA CRUZ VERAPAZ","ALTA VERAPAZ",18
2016,"SIQUINALÁ",ESCUINTLA,18
2016,"SANTO TOMÁS LA UNIÓN",SUCHITEPEQUEZ,17
2016,ORATORIO,"SANTA ROSA",17
2016,"SAN RAFAEL LAS FLORES","SANTA ROSA",15
2016,"LOS AMATES",IZABAL,15
2016,"SAN DIEGO",ZACAPA,15
2016,"SAN MARTÍN ZAPOTITLÁN",RETALHULEU,15
2016,MORALES,IZABAL,14
2016,"GÉNOVA",QUETZALTENANGO,14
2016,MASAGUA,ESCUINTLA,13
2016,CUILCO,HUEHUETENANGO,13
2016,CHINAUTLA,GUATEMALA,13
2016,"SAN LUIS JILOTEPEQUE",JALAPA,13
2016,"SAN JOSÉ LA ARADA",CHIQUIMULA,13
2016,"EL JÍCARO","EL PROGRESO",12
2016,IPALA,CHIQUIMULA,12
2016,QUEZADA,JUTIAPA,12
2016,"OCÓS","SAN MARCOS",11
2016,"LAS CRUCES","EL PETEN",11
2016,"SANTA ANA","EL PETEN",11
2016,ESTANZUELA,ZACAPA,11
2016,"PUERTO DE SAN JOSÉ",ESCUINTLA,11
2016,"EL ASINTAL",RETALHULEU,11
2016,"SANTA CATARINA IXTAHUACÁN",SOLOLA,11
2016,PANZOS,"ALTA VERAPAZ",11
2016,"SAN MIGUEL DUEÑAS",SACATEPEQUEZ,11
2016,"NUEVO PROGRESO","SAN MARCOS",10
2016,"SAN MARCOS","SAN MARCOS",10
2016,TAXISCO,"SANTA ROSA",10
2016,"CONCEPCIÓN LAS MINAS",CHIQUIMULA,9
2016,CONGUACO,JUTIAPA,9
2016,OLOPA,CHIQUIMULA,9
2016,"SAN PEDRO PINULA",JALAPA,9
2016,FLORES,"EL PETEN",8
2016,JUTIAPA,JUTIAPA,8
2016,CUYOTENANGO,SUCHITEPEQUEZ,8
2016,"SAN PEDRO SACATEPÉQUEZ",GUATEMALA,8
2016,QUETZALTEPEQUE,CHIQUIMULA,8
2016,CHISEC,"ALTA VERAPAZ",8
2016,"EL ADELANTO",JUTIAPA,8
2016,SANSARE,"EL PROGRESO",8
2016,"SANTA CRUZ NARANJO","SANTA ROSA",8
2016,"SAN JOSÉ POAQUIL",CHIMALTENANGO,8
2016,ZACAPA,ZACAPA,7
2016,CHIQUIMULA,CHIQUIMULA,7
2016,"SAN JOSÉ DEL GOLFO",GUATEMALA,7
2016,"SAN ANDRÉS VILLA SECA",RETALHULEU,7
2016,JALPATAGUA,JUTIAPA,7
2016,"SAN JERÓNIMO","BAJA VERAPAZ",7
2016,"SAN LUCAS TOLIMÁN",SOLOLA,7
2016,"SAN ANDRÉS SAJCABAJÁ",QUICHE,7
2016,MALACATANCITO,HUEHUETENANGO,7
2016,ALOTENANGO,SACATEPEQUEZ,6
2016,"SAN MANUEL CHAPARRÓN",JALAPA,6
2016,"SAN ANTONIO LA PAZ","EL PROGRESO",6
2016,PATULUL,SUCHITEPEQUEZ,6
2016,"CONCEPCIÓN HUISTA",HUEHUETENANGO,6
2016,RAXRUHA,"ALTA VERAPAZ",5
2016,DOLORES,"EL PETEN",5
2016,CHICACAO,SUCHITEPEQUEZ,5
2016,"LA TINTA","ALTA VERAPAZ",5
2016,"TECULUTÁN",ZACAPA,5
2016,"EL CHAL","EL PETEN",5
2016,"GUAZACAPÁN","SANTA ROSA",5
2016,SAMAYAC,SUCHITEPEQUEZ,5
2016,"SAN JOSÉ EL IDOLO",SUCHITEPEQUEZ,5
2016,"LA LIBERTAD","EL PETEN",4
2016,"SANTA CRUZ MULÚA",RETALHULEU,4
2016,"SAN FRANCISCO","EL PETEN",4
2016,"SAN FELIPE",RETALHULEU,4
2016,"EL RODEO","SAN MARCOS",4
2016,SIBINAL,"SAN MARCOS",4
2016,"SAN ANDRÉS","EL PETEN",3
2016,PALENCIA,GUATEMALA,3
2016,"SAN JORGE",ZACAPA,3
2016,"NUEVO SAN CARLOS",RETALHULEU,3
2016,PAJAPITA,"SAN MARCOS",3
2016,"LA REFORMA","SAN MARCOS",3
2016,"SAN MIGUEL USPANTÁN",QUICHE,3
2016,MOYUTA,JUTIAPA,3
2016,"HUITÉ",ZACAPA,3
2016,CHIMALTENANGO,CHIMALTENANGO,2
2016,"SAN MARTÍN JILOTEPEQUE",CHIMALTENANGO,2
2016,HUEHUETENANGO,HUEHUETENANGO,2
2016,"ASUNCIÓN MITA",JUTIAPA,2
2016,ATESCATEMPA,JUTIAPA,2
2016,"SAN ANTONIO AGUAS CALIENTES",SACATEPEQUEZ,2
2016,"SAN PEDRO NECTA",HUEHUETENANGO,2
2016,"MORAZÁN","EL PROGRESO",2
2016,"CABAÑAS",ZACAPA,2
2016,"SAN SEBASTIÁN",RETALHULEU,2
2016,"RÍO HONDO",ZACAPA,2
2016,"SAN ANDRÉS SEMETABAJ",SOLOLA,2
2016,SACAPULAS,QUICHE,2
2016,"SANTA CRUZ DEL QUICHÉ",QUICHE,2
2016,TACTIC,"ALTA VERAPAZ",2
2016,"SAN CRISTÓBAL ACASAGUASTLÁN","EL PROGRESO",2
2016,"SAN JUAN LA LAGUNA",SOLOLA,2
2016,JEREZ,JUTIAPA,2
2016,"SAN FRANCISCO ZAPOTITLÁN",SUCHITEPEQUEZ,2
2016,"SAN JUAN CHAMELCO","ALTA VERAPAZ",2
2016,"EL CHOL","BAJA VERAPAZ",2
2016,"CAJOLÁ",QUETZALTENANGO,2
2016,"SAN ANTONIO ILOTENANGO",QUICHE,2
2016,QUETZALTENANGO,QUETZALTENANGO,1
2016,MAZATENANGO,SUCHITEPEQUEZ,1
2016,CHAMPERICO,RETALHULEU,1
2016,"LA UNIÓN",ZACAPA,1
2016,"SAN PABLO JOCOPILAS",SUCHITEPEQUEZ,1
2016,"TUCURÚ","ALTA VERAPAZ",1
2016,IZTAPA,ESCUINTLA,1
2016,ZACUALPA,QUICHE,1
2016,"SAN JOSÉ PINULA",GUATEMALA,1
2016,"SAN AGUSTÍN ACASAGUASTLÁN","EL PROGRESO",1
2016,"SAN JOSÉ ACATEMPA",JUTIAPA,1
2016,"USUMATLÁN",ZACAPA,1
2016,"LA LIBERTAD",HUEHUETENANGO,1
2016,"SAN JOSÉ","EL PETEN",1
2016,SANARATE,"EL PROGRESO",1
2016,"SAN JUAN TECUACO","SANTA ROSA",1
2016,"SAN PEDRO LA LAGUNA",SOLOLA,1
2016,"SANTO DOMINGO SUCHITEPÉQUEZ",SUCHITEPEQUEZ,1
2016,MONJAS,JALAPA,1
2016,"EL PROGRESO",JUTIAPA,1
2016,"SAN BARTOLOMÉ JOCOTENANGO",QUICHE,1
2016,"SAN RAFAEL PIÉ DE LA CUESTA","SAN MARCOS",1
2016,"SANTA CATARINA BARAHONA",SACATEPEQUEZ,1
2016,MOMOSTENANGO,TOTONICAPAN,1
2016,"SAN ANTONIO PALOPÓ",SOLOLA,1
2016,JOCOTENANGO,SACATEPEQUEZ,1
2016,"TACANÁ","SAN MARCOS",1
2016,"SANTA CATARINA PALOPÓ",SOLOLA,1
2017,GUATEMALA,GUATEMALA,399
2017,"ANTIGUA GUATEMALA",SACATEPEQUEZ,297
2017,ZACAPA,ZACAPA,262
2017,COATEPEQUE,QUETZALTENANGO,141
2017,"JOCOTÁN",CHIQUIMULA,138
2017,"PUERTO BARRIOS",IZABAL,113
2017,ESTANZUELA,ZACAPA,110
2017,GUASTATOYA,"EL PROGRESO",103
2017,"TECULUTÁN",ZACAPA,102
2017,CATARINA,"SAN MARCOS",90
2017,"CABAÑAS",ZACAPA,87
2017,ESQUIPULAS,CHIQUIMULA,80
2017,"SAN PABLO","SAN MARCOS",77
2017,MIXCO,GUATEMALA,71
2017,"FRAY BARTOLOMÉ DE LAS CASAS","ALTA VERAPAZ",61
