year,municipality,department,total_cases
2012,"SAN JUAN SACATEPÉQUEZ",GUATEMALA,7
2012,"NUEVA SANTA ROSA","SANTA ROSA",7
2012,JALPATAGUA,JUTIAPA,7
2012,"SAN AGUSTÍN ACASAGUASTLÁN","EL PROGRESO",7
2012,"SAN JUAN LA ERMITA",CHIQUIMULA,7
2012,"GUAZACAPÁN","SANTA ROSA",7
2012,"LA REFORMA","SAN MARCOS",6
2012,CHIQUIMULILLA,"SANTA ROSA",5
2012,SANARATE,"EL PROGRESO",5
2012,PATULUL,SUCHITEPEQUEZ,5
2012,"SAN JUAN CHAMELCO","ALTA VERAPAZ",5
2012,DOLORES,"EL PETEN",4
2012,ALOTENANGO,SACATEPEQUEZ,4
2012,"SAN MANUEL CHAPARRÓN",JALAPA,4
2012,ORATORIO,"SANTA ROSA",4
2012,CHUARRANCHO,GUATEMALA,4
2012,"NAHUALÁ",SOLOLA,4
2012,"EL CHOL","BAJA VERAPAZ",4
2012,"PATZÚN",CHIMALTENANGO,4
2012,"LAS CRUCES","EL PETEN",3
2012,GRANADOS,"BAJA VERAPAZ",3
2012,"SOLOLÁ",SOLOLA,3
2012,"RÍO BRAVO",SUCHITEPEQUEZ,3
2012,"SANTA CATARINA PINULA",GUATEMALA,3
2012,"SAN MIGUEL USPANTÁN",QUICHE,3
2012,SAMAYAC,SUCHITEPEQUEZ,3
2012,JEREZ,JUTIAPA,3
2012,"SANTA CRUZ NARANJO","SANTA ROSA",3
2012,"CANILLÁ",QUICHE,2
2012,"SAN MARTÍN JILOTEPEQUE",CHIMALTENANGO,2
2012,ZACUALPA,QUICHE,2
2012,"SAN RAFAEL LAS FLORES","SANTA ROSA",2
2012,CASILLAS,"SANTA ROSA",2
2012,"CAHABÓN","ALTA VERAPAZ",2
2012,"SAN JOSÉ PINULA",GUATEMALA,2
2012,"TAMAHÚ","ALTA VERAPAZ",2
2012,TACTIC,"ALTA VERAPAZ",2
2012,"SAN PEDRO LA LAGUNA",SOLOLA,2
2012,"ZAPOTITLÁN",JUTIAPA,2
2012,"CIUDAD VIEJA",SACATEPEQUEZ,2
2012,"AGUA BLANCA",JUTIAPA,2
2012,"SAN JUAN COMALAPA",CHIMALTENANGO,2
2012,NEBAJ,QUICHE,2
2012,CHINIQUE,QUICHE,2
2012,"PALESTINA DE LOS ALTOS",QUETZALTENANGO,2
2012,MATAQUESCUINTLA,JALAPA,1
2012,CHICACAO,SUCHITEPEQUEZ,1
2012,"LA UNIÓN",ZACAPA,1
2012,"SAN PEDRO AYAMPUC",GUATEMALA,1
2012,"SAN CRISTÓBAL VERAPAZ","ALTA VERAPAZ",1
2012,"SAN LUIS JILOTEPEQUE",JALAPA,1
2012,"SAN ANTONIO HUISTA",HUEHUETENANGO,1
2012,"SAN MARCOS","SAN MARCOS",1
